publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p766276,earthquake,2024-10-10T12:32:12.037Z,2024-10-10T12:37:42.017Z,173.1727752685547,-42.48008728027344,1.7091084208791418,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,13,2,0.16479241847991943,90.47203063964844,0.3823158554634019,0.33997940975869334
2024p765834,earthquake,2024-10-10T08:36:30.574Z,2024-10-17T00:31:19.348Z,172.8867950439453,-42.38863754272461,2.795789297608376,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,44,32,11,0.14082787930965424,52.24225616455078,0.5209143173025838,0.146399083677591
2024p765624,earthquake,2024-10-10T06:44:32.853Z,2024-10-10T06:58:00.642Z,173.6002197265625,-42.09078598022461,2.1411583795844322,24.71188163757324,MLv,,LOCSAT,confirmed,manual,iasp91,16,10,1,0.11815834790468216,95.91596984863281,0.5169926780402799,0
2024p760059,earthquake,2024-10-08T05:19:52.972Z,2024-10-08T05:32:40.042Z,173.0270233154297,-42.268943786621094,2.399568734351446,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,18,5,0.18394960463047028,68.19912719726562,0.6333092270822333,0.13715763087806926
2024p756730,earthquake,2024-10-06T23:46:08.737Z,2024-10-07T00:07:25.445Z,171.2857666015625,-43.52690505981445,2.344603816050752,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,25,17,7,0.19674710929393768,50.00852680206299,0.44303306452456326,0.3344264398432907
2024p756427,earthquake,2024-10-06T21:04:33.427Z,2024-10-06T21:10:38.611Z,173.84811401367188,-42.599727630615234,2.1847398880171167,22.91165542602539,MLv,,LOCSAT,confirmed,manual,iasp91,13,9,3,0.2932172417640686,193.81865119934082,0.7063210887119817,0.5783797288382829
2024p755057,earthquake,2024-10-06T08:54:27.784Z,2024-10-06T09:08:39.450Z,171.12673950195312,-43.667667388916016,1.5092780705642703,6.162632465362549,MLv,,LOCSAT,confirmed,manual,iasp91,23,14,4,0.07068540155887604,54.33963012695312,0.5487761375117217,0.21525714461606388
2024p752807,earthquake,2024-10-05T12:55:22.500Z,2024-10-05T13:03:47.179Z,172.8053741455078,-42.6404914855957,1.814412604959177,12.069392204284668,ML,,LOCSAT,confirmed,manual,iasp91,25,18,4,0.06077614054083824,38.324249267578125,1.333989760228642,0.16185497903315102
2024p750908,earthquake,2024-10-04T20:04:04.246Z,2024-10-04T22:44:54.559Z,173.78045654296875,-42.25532531738281,1.8895251447501218,5,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,28,17,3,0.11368545144796371,144.56528854370117,0.5387507520462264,0.07225722152222765
2024p748132,earthquake,2024-10-03T19:25:09.348Z,2024-10-03T20:55:18.884Z,172.51487731933594,-43.59525680541992,2.0101948364496267,4.593613147735596,MLv,,LOCSAT,confirmed,manual,iasp91,28,20,3,0.039929892867803574,96.6790771484375,0.325193383911214,0.3138212099018292
