publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2024p776722,earthquake,2024-10-14T09:17:32.265Z,2024-10-14T09:30:01.436Z,179.7483673095703,-37.52680206298828,4.223892895356964,33,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,36,30,45,1.0975803136825562,228.09405517578125,0.7300966835819276,0.18082787110282345
2024p776549,earthquake,2024-10-14T07:45:36.371Z,2024-10-14T08:16:19.358Z,178.00234985351562,-37.880035400390625,1.9192658547329462,27.419214248657227,MLv,,LOCSAT,confirmed,manual,iasp91,16,12,4,0.06332937628030777,92.00631713867188,0.3956835986658165,0.35463183381294894
2024p776120,earthquake,2024-10-14T03:57:06.850Z,2024-10-14T08:37:30.018Z,177.98484802246094,-38.707523345947266,1.8315128169202413,21.720516204833984,MLv,,LOCSAT,confirmed,manual,iasp91,23,13,8,0.09555721282958984,163.59718704223633,0.22474185998587537,0.22876207332350673
2024p776051,earthquake,2024-10-14T03:20:00.467Z,2024-10-14T06:13:35.621Z,177.96041870117188,-38.72500228881836,1.9743914430682084,24.737022399902344,MLv,,LOCSAT,confirmed,manual,iasp91,23,16,7,0.10372882336378098,190.63015794754028,0.4739337424878353,0.11695610677639974
2024p776002,earthquake,2024-10-14T02:53:56.977Z,2024-10-14T04:42:26.319Z,177.97250366210938,-38.71925735473633,2.5514550083647713,23.94293975830078,MLv,,LOCSAT,confirmed,manual,iasp91,28,17,12,0.05940988659858704,147.45765686035156,0.481614875092543,0.16274746981658328
2024p775668,earthquake,2024-10-13T23:56:14.669Z,2024-10-14T00:49:35.309Z,177.3201446533203,-38.37335205078125,2.478830409219393,35.53694534301758,MLv,,LOCSAT,confirmed,manual,iasp91,26,17,17,0.14316323399543762,79.83060836791992,0.5145521506525567,0.2299931563247541
2024p775583,earthquake,2024-10-13T23:10:49.793Z,2024-10-14T00:21:58.833Z,177.80076599121094,-38.721229553222656,1.6355539500745648,25.129796981811523,MLv,,LOCSAT,confirmed,manual,iasp91,17,11,6,0.03387276828289032,144.7843780517578,0.5632516981240497,0.2726797599447756
2024p775358,earthquake,2024-10-13T21:10:56.731Z,2024-10-14T00:18:42.023Z,178.28309631347656,-38.18638610839844,2.2663610621913413,10.44789981842041,MLv,,LOCSAT,confirmed,manual,iasp91,17,12,6,0.1164565235376358,189.58597600460052,0.5246915425869102,0.2386433360598088
2024p775195,earthquake,2024-10-13T19:44:00.897Z,2024-10-13T19:58:46.434Z,178.84169006347656,-37.25141525268555,3.605177783405074,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,30,24,30,0.5270851850509644,272.8285369873047,0.6174043792846279,0.1315760372917381
2024p774873,earthquake,2024-10-13T16:52:39.507Z,2024-10-13T17:07:57.117Z,178.72329711914062,-38.452049255371094,2.649722967141375,28.064233779907227,MLv,,LOCSAT,confirmed,manual,iasp91,21,13,7,0.3412221074104309,271.5705261230469,0.5142161575336194,0.28641569031787006
